Description	ID	Manufacturer	"Manufacturer Part Number"	Supplier	"Supplier Part Number"	"Reference Designators"	"Line Quantity"	"Order Quantity"	"Unit Price"	"Order Price"	"Legacy ID"	"Datasheet 1"	"Datasheet 2"	"Datasheet 3"	"Datasheet 4"	"Datasheet 5"	"Datasheet 6"	"Datasheet 7"	"Datasheet 8"	"Datasheet 9"	"Datasheet 10"	"Datasheet 11"	"Datasheet 12"	"Datasheet 13"	"Datasheet 14"	"Datasheet 15"	"Datasheet 16"	"Datasheet 17"
"CRYSTAL 25.0000MHZ 18PF SMD"	ABRACON/ABM3-25.000MHZ-B2-T	Abracon	ABM3-25.000MHZ-B2-T	Arrow	ABM3-25.000MHZ-B2-T**MUL	Y3	1	25	0.7075	17.6875		http://datasheet.octopart.com/ABM7-12.000MHZ-D2Y-T-Abracon-datasheet-12514944.pdf	http://datasheet.octopart.com/ABM3-8.000MHZ-D2Y-T-Abracon-datasheet-8488864.pdf	http://datasheet.octopart.com/ABM3-8.000MHZ-D2Y-T-Abracon-datasheet-13417521.pdf	http://datasheet.octopart.com/ABM3-8.000MHZ-D2Y-T-Abracon-datasheet-577709.pdf	http://datasheet.octopart.com/ABM3-8.000MHZ-D2Y-T-Abracon-datasheet-8324950.pdf	http://datasheet.octopart.com/ABM3-8.000MHZ-D2Y-T-Abracon-datasheet-8808528.pdf	http://datasheet.octopart.com/ABM3-8.000MHZ-D2Y-T-Abracon-datasheet-8862594.pdf	http://datasheet.octopart.com/ABM3-8.000MHZ-D2Y-T-Abracon-datasheet-8853172.pdf	http://datasheet.octopart.com/ABM3-8.000MHZ-D2Y-T-Abracon-datasheet-8835795.pdf	http://datasheet.octopart.com/ABM3-8.000MHZ-D2Y-T-Abracon-datasheet-8815637.pdf	http://datasheet.octopart.com/ABM3-25.000MHZ-B2-T-Abracon-datasheet-3495.pdf	http://datasheet.octopart.com/ABM3-25.000MHZ-B2-T-Abracon-datasheet-9735609.pdf	http://datasheet.octopart.com/ABM3-25.000MHZ-B2-T-Abracon-datasheet-20679159.pdf				
"OSC MEMS 24.576MHZ CMOS SMD"	ABRACON/ASDMB-24.576MHZ-LC-T	Abracon	ASDMB-24.576MHZ-LC-T	Digi-Key	535-11729-6-ND	Y4	1	24	1.089	26.136		http://datasheet.octopart.com/ASDMB-24.576MHZ-LC-T-Abracon-datasheet-26376793.pdf																
"CAP CER 1UF 10V X5R 0402"	AVX/0402ZD105KAT2A	AVX	0402ZD105KAT2A	Newark	06M4041	C104,C134,C24,C89,C90,C91	6	170	0.009	1.5299999999999998																		
"CAP ALUM 100UF 20% 6.3V SMD"	CD/AVE107M06D16T-F	"Cornell Dubilier"	AVE107M06D16T-F	Digi-Key	338-1787-1-ND	C34	1	30	0.315	9.45		http://datasheet.octopart.com/AVE107M06D16T-F-Cornell-Dubilier-datasheet-8458925.pdf																
"CRYSTAL 32.7680KHZ 12.5PF SMD"	CFM/CM200C32768AZFT	"Citizen Finetech Miyota"	CM200C32768AZFT	Newark	77R1487	Y1	1	25	0.478	11.95		http://datasheet.octopart.com/CM200C32768AZFT-Citizen-Finetech-Miyota-datasheet-17020632.pdf	http://datasheet.octopart.com/CM200C32768AZFT-Citizen-Finetech-Miyota-datasheet-11047136.pdf															
"SWITCH TACTILE SPST-NO 0.05A 32V"	CK/KMR231GLFS	"C&K Components"	KMR231GLFS	"Master Electronics"	KMR231GLFS	S1,S2,S3	3	65	0.23	14.950000000000001		http://datasheet.octopart.com/KMR231GLFS-C%26K-Components-datasheet-13051603.pdf	http://datasheet.octopart.com/KMR231GLFS-C%26K-Components-datasheet-13308045.pdf	http://datasheet.octopart.com/KMR231GLFS-C%26K-Components-datasheet-5394321.pdf	http://datasheet.octopart.com/KMR231GLFS-C%26K-Components-datasheet-13052183.pdf	http://datasheet.octopart.com/KMR231GLFS-C%26K-Components-datasheet-13399446.pdf	http://datasheet.octopart.com/KMR231GLFS-C%26K-Components-datasheet-13549788.pdf	http://datasheet.octopart.com/KMR231GLFS-C%26K-Components-datasheet-15767519.pdf	http://datasheet.octopart.com/KMR231GLFS-C%26K-Components-datasheet-13036787.pdf									
"RES SMD 0.1 OHM 5% 1/8W 0805"	CTS/73L3R10J	"CTS Components"	73L3R10J	Arrow	73L3R10J**MULT1	FB8,R136	2	200	0.014	2.8000000000000003		http://datasheet.octopart.com/73L3R10J-CTS-Components-datasheet-12516254.pdf																
"CONN PWR JACK 2.1X5.5MM HIGH CUR"	CUI/PJ-002AH	CUI	PJ-002AH	"Future Electronics"	PJ-002AH	P1	1	30	0.4167	12.501000000000001		http://datasheet.octopart.com/PJ-002AH-CUI-datasheet-13297597.pdf	http://datasheet.octopart.com/PJ-002AH-CUI-datasheet-73610.pdf															
"TRANS 2NPN PREBIAS 0.2W SOT363"	DIODES/DDC114YU-7-F	"Diodes Inc."	DDC114YU-7-F	Arrow	DDC114YU-7-F**MULT1	Q1,Q2	2	50	0.2073	10.365		http://datasheet.octopart.com/DDC114YU-7-F-Diodes-Inc.-datasheet-11730438.pdf	http://datasheet.octopart.com/DDC114YU-7-F-Diodes-Inc.-datasheet-127716.pdf	http://datasheet.octopart.com/DDC114YU-7-F-Diodes-Inc.-datasheet-8331852.pdf	http://datasheet.octopart.com/DDC114YU-7-F-Diodes-Inc.-datasheet-25709.pdf	http://datasheet.octopart.com/DDC114YU-7-F-Diodes-Inc.-datasheet-46751222.pdf	http://datasheet.octopart.com/DDC114YU-7-F-Diodes-Inc.-datasheet-14064132.pdf											
DNP	DNP					TP1,TP4,TP2,TP3,MTG1,MTG2,MTG3,MTG4,TP5,TP6,TP7,TP8																						
